Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
MS-BS,CTF,122.223,-2.35,122.823,-2.598,8.8,307.0,2.3,-8.5,113.0,72.2
MS-BS,OCB,122.823,-2.598,123.424,-2.846,10.1,260.0,-5.3,-8.5,112.0,72.2
MS-BS,OCB,123.424,-2.846,123.672,-3.094,14.4,243.0,-13.8,-4.4,135.0,38.9
MS-BS,OCB,123.672,-3.094,123.706,-3.941,20.9,247.0,-19.5,7.5,178.0,94.3
MS-BS,OCB,123.706,-3.941,123.458,-4.576,28.8,256.0,-23.4,16.7,201.0,75.8
MS-BS,OCB,123.458,-4.576,124.06,-4.701,33.6,254.0,-15.5,-29.8,102.0,68.1
MS-BS,OCB,124.06,-4.701,124.662,-4.824,37.5,244.0,-22.7,-29.8,102.0,68.1
MS-BS,OCB,124.662,-4.824,125.282,-4.789,41.5,236.0,-21.4,-35.6,87.0,68.8
MS-BS,OCB,125.282,-4.789,125.901,-4.754,45.6,228.0,-28.6,-35.6,87.0,68.7
MS-BS,OCB,125.901,-4.754,126.432,-4.471,49.1,221.0,-17.9,-45.8,62.0,66.7
MS-BS,OCB,126.432,-4.471,126.963,-4.188,52.1,213.0,-24.9,-45.8,62.0,66.8
MS-BS,CTF,126.963,-4.188,127.325,-3.719,54.4,206.0,-10.6,-53.4,38.0,65.8
MS-BS,CTF,127.325,-3.719,127.51,-3.163,55.0,199.0,0.9,-55.0,18.0,65.2
MS-BS,CTF,127.51,-3.163,127.667,-2.447,55.0,191.0,-1.0,-55.0,12.0,81.5
MS-BS,CTF,127.667,-2.447,127.666,-1.758,54.9,183.0,2.6,-54.8,0.0,76.6
MS\BH,SUB,125.969,-0.278,125.969,0.19,89.6,117.0,-79.5,-41.3,0.0,52.0
BS/SU,SUB,119.475,-0.081,119.296,-0.68,34.0,275.0,-33.3,7.1,197.0,69.5
BS/SU,SUB,119.296,-0.68,119.045,-1.491,30.3,273.0,-29.4,7.4,197.0,94.4
BS/SU,SUB,119.045,-1.491,118.884,-1.95,27.0,271.0,-25.7,8.4,199.0,54.0
BS/SU,SUB,118.884,-1.95,118.723,-2.408,24.6,269.0,-23.1,8.4,199.0,54.0
BS/SU,SUB,118.723,-2.408,118.578,-3.255,21.3,267.0,-20.8,4.6,190.0,95.5
BS/SU,SUB,118.578,-3.255,118.823,-3.61,18.2,268.0,-15.4,-9.7,145.0,47.9
BS-SU,CTF,118.823,-3.61,119.565,-3.966,16.4,276.0,-5.5,-15.5,116.0,91.4
BS-SU,CCB,119.565,-3.966,119.953,-4.303,15.2,288.0,-6.0,-14.0,131.0,57.1
BS-SU,CTF,119.953,-4.303,120.341,-4.64,14.4,298.0,-3.3,-14.0,131.0,57.0
