Source_ID,Region,Main,Segment,Type,Dip_raw,Length_km,Width_km,Mmax,Sliprate,Status,N_vertex,Coords_lonlat
BAN44,Bali-NT-Banda-Maluku,Seram FTB,West Kumawa,R,45SW,102.0,30.0,7.3,17,Data Updated,4,"132.48882,-3.95309 132.66574,-4.19540 132.84881,-4.65517 132.86131,-4.79693"
BAN45,Bali-NT-Banda-Maluku,Seram FTB,South Onin,R,45SW,75.0,20.0,7.2,20,Data Updated,4,"132.08481,-3.39687 132.18520,-3.50575 132.41403,-3.85057 132.48882,-3.95309"
BAN46,Bali-NT-Banda-Maluku,Seram FTB,West Onin,R,45SW,152.0,20.0,7.4,17,Data Updated,5,"130.87222,-2.77260 131.04106,-2.85057 131.49872,-2.96552 131.89917,-3.19540 132.08481,-3.39687"
BAN47,Bali-NT-Banda-Maluku,Seram FTB,South Misool-2,R,45S,79.0,20.0,7.2,15,Data Updated,3,"130.19296,-2.54004 130.46899,-2.58621 130.87222,-2.77260"
BAN48,Bali-NT-Banda-Maluku,Seram FTB,South Misool-1,R,45S,215.0,20.0,7.8,15,Data Updated,4,"128.23792,-2.39080 128.98161,-2.35632 129.78251,-2.47126 130.19296,-2.54004"
BAN49,Bali-NT-Banda-Maluku,Seram Strike Slip,East Gorom,SS,90,153.0,20.0,7.6,14,No Update,5,"132.96829,-4.42029 132.82420,-4.25121 132.31988,-3.96135 132.17579,-4.13043 132.00768,-3.84058"
BAN50,Bali-NT-Banda-Maluku,Seram Strike Slip,West Gorom,SS,90,35.0,20.0,6.7,6,No Update,5,"131.72636,-3.69134 131.71141,-3.68507 131.58218,-3.63087 131.44877,-3.58085 131.43359,-3.57515"
BAN51,Bali-NT-Banda-Maluku,Seram Strike Slip,East Bula,SS,90,51.0,20.0,7.0,6,No Update,5,"131.24814,-3.07249 131.10040,-3.07484 130.98315,-3.07249 130.87996,-3.07953 130.79085,-3.07249"
BAN52,Bali-NT-Banda-Maluku,Seram Strike Slip,North Hote,SS,90,84.0,20.0,7.3,6,No Update,5,"130.79424,-2.85961 130.50658,-2.85128 130.34399,-2.85544 130.17723,-2.83877 130.03966,-2.83877"
BAN53,Bali-NT-Banda-Maluku,Seram Strike Slip,North Kobi,SS,90,30.0,20.0,6.6,6,No Update,3,"130.10297,-2.78796 129.98728,-2.79109 129.83095,-2.78796"
